id;category_name;category_description;free_field_1;free_field_2;last_modified;last_modified_by;is_deleted;is_active
1;Rubber;1080p Handmade;groupware Nigeria Optimized;background Functionality;2022-03-03T00:03:38;Concrete software Mexico;false;false
2;model;calculating seize neural;Multi-lateral Yemeni;Account;2022-03-02T16:06:56;Saint;true;true
3;FTP blue;Car;Serbia initiatives Benin;Intelligent haptic Fall;2022-03-03T02:06:10;Integration Tasty feed;false;true
4;Beauty;Oregon 24/7;Keyboard South discrete;New indexing;2022-03-02T09:21:12;Kansas;true;false
5;Plaza;Bedfordshire Graphical;Berkshire;Organic Alabama;2022-03-03T01:24:28;back-end Strategist Unbranded;true;false
6;revolutionize;monitoring;dedicated;knowledge;2022-03-03T05:53:38;payment;false;true
7;Bouvet Concrete;Money Orchard digital;web-enabled indexing sexy;Plastic;2022-03-03T04:56:06;Oman EXE;true;false
8;Small;Mongolia;Home;Principal overriding communities;2022-03-02T19:51:05;alarm auxiliary;false;false
9;leading-edge;Handcrafted capability;Illinois;New;2022-03-02T22:10:58;visualize;true;true
10;synergize navigating;HTTP;input;Soft;2022-03-02T17:01:58;monitoring function;true;true
